Recall_Number,Date,Year,Trade_Name,Recalling_Firm,Recall_Class,Reason_Recall,Fault_Class,Failure_Mode,Action,Action_Category,Quantity_Full, Quantity_Short
Z-0134-2010,Nov-09-2009,2009,Guardian Services - Stryker Imaging; Guardian Services Software; Part Number 0240-009-430 with Part Numbers 0240-020-013 and 0240-020-022 (Office PACS Power).Intended use is to act as a medical data backup and disaster recovery plan.,Stryker Imaging,2,Firm has determined Guardian Services does not contain 100% data backup for 12 OfficePACS Power customers on a daily basis.,Software,Device Operation,"Stryker Imaging issued an ""Urgent: Device Correction"" notice dated August 18, 2009.  Customers were notified of the defective product and informed that Stryker will be in contact shortly to coordinate the product correction.  Actions to be taken during the interim were also detailed.



For further information, contact Stryker Imaging at 1-972-410-7100.",Prodcut correction,12 devices affected,12
Z-1808-2009,Sep-04-2009,2009,Horizon - American Optisurgical; Horizon Phacoemulsification System; Model: HZN-2030; for ophthalmic surgery.,American Optisurgical Inc,2,Device operation interrupted: A software bug causes Phaco to stop when vacuum goes above 300 mmHg while in Multi Burst mode. Use of this product at the parameters specified above could lead to a delay in surgery that might present a health risk.,Software,Device Operation,"American Optisurgery sent an E-mail to customers on April 2, 2009 stating the reason for recall and informed them to immediately examine their inventory and quarantine product subject to recall. In addition, if they have further distributed this product, please identify customers and identify them at once of this product recall. Their notification to customers may be enhanced by including a copy of this recall notification letter. They were then told to refer to the enclosed Recall Questionnaire for instructions on what to do with the recalled product: The recall should be carried out to the user level and return the enclosed response form as soon as possible. If there are any questions, they are advised to contact David Salzberg at (800) 576-1266.",Remove,12 units,12
Z-2054-2009,Sep-09-2009,2009,Hi Vision ultrasound diagnostic scanners - EUB-6500/HI VISION 6500 Diagnostic Ultrasound Scanners; DICOM Option EZU-FC5; Software Versions:  V01-03; V01-05; V02-04; V03-02; V04-02; V04-03; V04-04; V05-03; V05-05A; V05-07A and V05-30A.,Hitachi Medical Systems America Inc,2,The firm's parent company discovered a DICOM UID (Universal Identifier) code mix-up which can occur due to a software error.  This error can cause the images from two (2) different patient scans to become intermingled and consequently; labeled incorrectly.,Software,Output/Calculation,"HMSA issued a 'DEVICE CORRECTION' notification to their customers on 5/12/2008. The notification describes the potential data transmission problem (potential to archive studies done on different patients into the same patient folder) and the conditions under which this problem can occur. The notification cautions the user/customer to verify all images stored on the PACS (Picture Archiving and Communications System) in order to ensure that they do not contain images from a different patient.  The  DEVICE CORRECTION letter also states that the firm will be installing updated software on all affected systems beginning in June, 2008, in order to address this issue.  It also states that a Hitachi Service Rep. will be contacting each customer and making arrangements to set up a convenient time to come out and perform a software upgrade. Lastly, the letter provides a  toll-free telephone # to the firm's 'Customer Service Center: 1-800-800-4925, which the customer can use to obtain additional information, if desired.",Software update,10 units,10
Z-0945-2009,Feb-03-2009,2009,IMPAX Cardiovascular Polling Procedure version 1.00.09 - IMPAX Cardiovascular Polling Procedure version 1.00.09; used in IMPAX 6.2.1 and 6.3.1.; Catalog numbers: E18R4000; L5NQJ000; L57OP000; LBCDB000; and E2ZCK000.IMPAX Cardiovascular is a picture archiving and communications system intended to be used as a networked cardiovascular information management system.  The IMPAX Centric Polling Procedure provides a mechanism to ensure that patient demographic and merge/split operations performed on the IMPAX database utilizing the IMPAX Service Tool are captured and applied to the IMPAX CV database; in order to keep patient updates from the IMPAX database synchronized with the IMPAX CV database.,AGFA Corp.,2,Polling procedure may fail when multiple merge/split is carried out.,Software,N/A,"All sites potentially affected by this product were notified of the issue directly via telephone. Each site was directed to observe a ten minute polling window as an interim mitigation until the normal mitigation by software Service Update is performed at the site by Agfa Support. An Urgent Safety Notice was sent via FED-EX on/about 12/24/2008 to all sites. The letter describes the potential issue and both interim and formal mitigation. Acknowledgment, via FAX-Back, that the information was received and understood was requested from the sites.",Software update,5 units,5
Z-1040-2009,Mar-24-2009,2009,QCA and iQCA Software - QCA and iQCA software; a video microscopy software system for quantitative estrogen receptor immunohistochemistry; Cell Analysis Inc.; Evanston; IL 60201 or Highland Park; IL 60035.Intended to measure and quantitate the percentage and intensity of positively stained nuclei in formalin-fixed; paraffin-embedded tissue specimens immunohistochemically stained for estrogen receptors.  Indicated for use as an aid in the management; prognosis and prediction of therapy outcomes of breast cancer when used with reagents validated for those indications.,Leica Microsystems; Inc.,2,A change in the software to open up the software architecture to include other analytes other than Estrogen Receptor was made without FDA review and approval.,Software,N/A,"Leica Microsystems sent Medical Device Correction letters dated 11/6/08 to the direct accounts, informing them that all versions  3.7 and above of QCA and iQCA software are not in compliance with the original 510(k) cleared software for scoring of immunohistochemical stains in clinical applications.  The QCA/iQCA software is only cleared for Estrogen Receptor staining under clinical applications.  The accounts were provided with red warning stickers that state: ""WARNING  The clinical application of QCA software has been cleared only for the measurement of images from microscopic slides of breast cancer specimens stained for the presence of estrogen (ER) nuclear receptor protein only.  Performance characteristics of the product, when used outside of this intended use, have not been established.""  They were instructed to apply the stickers to any existing manuals and or at each point of use, and to instruct all users about the notification.  The accounts were also requested to complete and return the enclosed reply form confirming that the changes have been made.",Instructions for attahing stickers,5 units,5
Z-1092-2009,Mar-12-2009,2009,GE Healthcare Innova 3100 / 3100 IQ - GE Innova 3100 / 3100 IQ; Cardiovascular Imaging System; GE Healthcare; Waukesha; WI 53188 (The system consists of an a monoplane positioner; a vascular or cardiac table; an X-ray system and a digital detector)Indicated for use in diagnostic and interventional angiographic procedures of human anatomy.  Intended to replace image intensifier fluoroscopic systems in all diagnostic or interventional procedures.  Not intended for mammography applications.,GE Medical Systems; LLC,2,GE Healthcare reported an issue with the Exposure Switch Redundancy system with Innova Systems 3100 & 4100; in which this error stays on; even after the pedal is released; inhibiting further x-rays; and a system reset is required to recover.,Software,Device Operation,On site visits were performed from 3/6/08 - 12/19/08 to update software on all 5 units.,Software update,4,4
Z-1236-2009,May-01-2009,2009,Cerner Bridge Medical Transfusion Administration and Specimen Collections - Cerner Bridge Medical Transfusion Administration and Specimen Collections; Versions 3.4.0; 3.4.1 and 3.4.2.,Cerner Corp,2,Specimen labels printing incorrect patient demographics.,Software,Output/Calculation,"Cerner Corporation issued a ""Priority Review Flash"" dated January 15, 2009 via e-mail to consignees using the software.  The letter described the violative nature of the software and explained the proper navigation controls needed to prevent further issues.



Further questions should be addressed to Bridge Client Support at 1-800-786-0239.",Instructions,4,4
Z-0629-2009,Jan-17-2009,2009,Cyberknife Robotic Radiosurgery System - Cyberknife Robotic Radiosurgery System.  A radiation therapy device; MultiPlan (MP) Treatment Planning Software and Iris Variable Aperture Collimator; Software version 3.0.Product is indicated for treatment planning and image guided stereotactic radiosurgery and precision radiotherapy of lesions; tumors and conditions anywhere in the body when radiation treatment is indicated.,Accuray Inc,2,System may use random incorrect data to calculate dose. Resulting dose calculation error can exceed 100% of correct dose which may lead to serious patient injury.,Software,Treatment/Delivery/Therapy,"An Urgent Advisory Notification letter dated November 14, 2008 was issued to all sites via Fed Ex.  The letter identifies the issue and required actions.  The user was instructed not to modify current extrapolation depth settings and to contact Accuray Incorporated Customer Support prior to making any changes.



Please direct any questions or concerns regarding this issue to Accuray Incorporated Customer Support at  1-877-668-8667 (USA) or 1-408-716-4700 (outside of USA) or customersupport@accuray.com.",Instructions to not change settings,4 units,4
Z-0174-2010,Nov-10-2009,2009,Syngo Imaging XS - Syngo Imaging XS VA60 and VA70 in combination with a NAS or HSM license,Siemens Medical Solutions USA; Inc,2,Incomplete amount of image data; specifically; The image count in the series table of the online and archive database will display the full amount of images received at the Syngo Imaging XS as archived.  However; the zip file on the NAS or HSM will contain fewer images-those which have been archived until the time of the error/interruption.,Software,Output/Calculation,"The recalling firm issued a ""Customer Safety Advisory Notice"" dated 9/14/09 to all affected customers via Update Instructions IM101/09/S. The notice informs the customer of the potential issue and provides instructions to avoid its occurrence. Questions regarding this issue are directed to the local SIEMENS Uptime Service Center.",Update,2 units,2
Z-2231-2009,Sep-22-2009,2009,Eclipse Proton Convolution Superposition DCF; version 8.6.15; Model H48 - Varian Medical Systems; Eclipse Proton Convolution Superposition DCF; version 8.6.15; Model H48; radiation therapy treatment planning system.,Varian Medical Systems Oncology Systems,2,Software Issue/Mistreatment Potential-- Due to software issues; dose distribution may be incorrect and unintended radiation doses may be delivered.,Software,Treatment/Delivery/Therapy,"Varian Medical Systems Recall initiated on July 17, 2009. A product notification letter was distributed to the affected user, with a description of the problem and user corrective action steps.  The letter will be distributed to the sales, marketing and service organizations via certified mail.  A software correction is planned.",Software update,1,1
Z-1791-2009,Aug-03-2009,2009,ALARIS PC UNIT - The Alaris PC Unit; Model Numbers 8000 and 8015 (formerly Medley PC Unit) software version 8 and above when used with the Alaris PCA Module (Model 8120).The Alaris PC Unit is the central programming and power supply component for the Alaris System modules.,Cardinal Health 303 dba Cardinal Health,1,Affected Unit: Alaris PC Unit (Models 8000 and 8015) with software a versions 8 and above when used with the Alaris PCA module (Model 8120) There is a potential risk of over infusion related to a warning message on the user interface of the Alaris PC unit when used in conjunction with the Alaris PCA module. When the Alaris PC unit detects a programmed infusion for the Alaris PCA module that exceed,Software,Treatment/Delivery/Therapy,"The recall was initiated on June 12, 2009 with the firm forwarding via UPS an Urgent: Medical Device Recall Notification with attached Customer Response Card to the Chief Administrative Officer, Director of Pharmacy, Director of Biomedical Engineering, Director of Nursing & Director of Risk Management of all of the affected consignees. Customers were also asked to please promptly complete and return the enclosed Customer Response Card to expedite the correction process.



The Recall Notification informed the consignees of:

(A) PROBLEM #1: Occlusion Warning Message for Alaris Pump Module; (B) PROBLEM #2 Syringe volume Warning Message for Alaris PCA module; 

(C) PROBLEM #3 Electrostatic Discharge (ESD) protection circuitry; (D) PROBLEM #4 Fluid Ingress and (E) PROBLEM #5 Alaris System Inter-Unit Interface (IUI) Connectors Labeling. 



The recall notice included ""Required Action for Users & Follow-up actions by Cardinal Health for all five problems. Customers were also asked to report any  adverse reactions experienced with the use of this product, and/or quality problems to the FDA's MedWatch Program. 



In addition, customer were provided the following contact information for the recall: (1) Cardinal Health Recall Center for general questions: By phone at 1-888-562-6018 7am to 5pm (Pacific) ; (2) Customer Advocacy for adverse reports: By phone at 1-800-854-7120, Option 1, Option 1, Option 3 or by email at customerfeedback@cardinalhealth.com 24 hours a day, Sunday-Saturday; (3) Technical Support for Technical Questions regarding the Alaris System: By phone at 1-888-562-6018, 6am-5pm (Pacific).



The firm followed-up with the release of a nationwide press statement regarding this issue on July 29, 2009. The press release indicated serial numbers of affected devices, as well as CareFusions short term instructions to customers, and the firms strategy to fix the affected devices can be found at: www.cardinalhealth.com/alaris/medical-device-recall/ (This informatio.",Instructions,"186,000 units",186000
Z-1006-2009,Mar-09-2009,2009,"AED 10 - Welch Allyn AED 10 automated external defibrillator and MRL Jumpstart (collectively ""AED 10"")",Welch Allyn Protocol; Inc,1,Reliability issues - potential to shock a non shockable rhythm or not shocking a shockable rhythm;,Software,Treatment/Delivery/Therapy,"Welch Allyn sent a Customer Recall Notice dated February 26, 2009, to all customers (customer list supplied by distributors).  Welch Allyn will upgrade all units with software version 2.02 and lower to version 2.06.02 by Proc. AED10 Prod Service Min HW/SW Update Rev. E 820-0178-00.",Software update,"10, 735 ",10735
Z-1005-2009,Mar-10-2009,2009,Welch Allyn AED - Welch Allyn AED 10 Automated External Defibrillator,Welch Allyn Protocol; Inc,1,Potential for device to shut down prematurely under certain circumstances.,Software,Device Operation,"On 4/13/07 the firm released Service Bulletin part no. 810-2614-00, SB - AED 10 S/W V020600 DOWNGRADE to V020500.  That mandatory bulletin, for units with software version 2.06.00 and up indicates that all returning AED 10 units shall have their software version downgraded to 2.05.00.",Software update,89 units,89
Z-0122-2010,Nov-20-2009,2009,Stryker Instruments Navigation System II- CART - Stryker Instruments Navigation System II- CART; Stryker Navigation; Kalamazoo; MI; Stryker REF 7700-100-000.Intended to be used as a component of the Navigation System II.,Stryker Instruments Div. of Stryker Corporation,1,Multiple software-related malfunctions may occur.  The device may suddenly stop working; the screen may freeze; the screen may only be updated very slowly; the unit may not respond to user input; or the unit may only respond to user very slowly.,Software,Device Operation,"The firm issued a press release on 11/4/09.  Consignees were notified by an Urgent: Medical Device Recall Notification letter dated 10/23/09, which advised of the affected products, the reason for the recall, the recall plan, and the actions to be taken.  Customers were to immediately review this notification and distribute to all departments affected.  Also, customers were to immediately quarantine any affected product and label as recalled product; complete and sign the enclosed Business Reply Form and fax a copy to 866-521-2762.  Upon receipt of the form, a Stryker Navigation Field Service Rep would contact them to schedule the repair of their equipment.  All U.S. units were corrected by 10/30/09.",Repair,21,21
Z-1663-2010,May-26-2010,2010,Bausch & Lomb Millennium Microsurgical System - Bausch & Lomb Millennium Microsurgical System.,Bausch & Lomb Inc,2,The AC power cords used on these products are subject to an FDA Alert -- Safety Investigation of Certain Medical Device Power Cords: Initial Communication; Date Issued: October 19; 2009.,Battery,N/A,"A ""URGENT: POWER CORD RECALL"" letter and copies of the FDA Alert dated Oct. 19, 2009 were sent to all customers on or about Jan. 15, 2010, by Stericycle, a recall notification service.  The letter describes the product, problem and actions to be taken by the customers as well as FDA's recommendations and actions. The customers were made aware of the FDA Alert concerning the AC power cords and notified that these power cords were used in the devices.  They were requested to inspect the power cords for damage and notify the recalling firm if damage is noted or if they have experienced sparking, charring, or firing from the power cords and/or cracking or failure of the prongs.  In the absence of those conditions, customers were given the option of returning the power cord for replacement and/or during the regularly scheduled servicing of the device.  



If you would like a new power cord, please contact Customer Service at 1-800-338-2020 for a free replacement.",Replace component,Quantity never provided by firm,N/A
Z-1271-2010,Apr-08-2010,2010,French 100-120V 860 TC C02 & 02 Monitor - French 100-120V 860 TC C02 & 02 Monitor; Respironics/Philips product.Used for trending O2 and CO2 tension at the skin surface for neonates and adults as an adjunct to arterial O2 and CO2 measurements.,Philips Healthcare Inc.,2,Power cords' prongs may crack or fail -- Philips was notified that FDA is investigating whether certain types of Electri-Cord Manufacturing Company power cords used with medical devices may be defective in that the power cord's prongs may crack and fail at/or inside the plug.  Potential for burns or electrical shock.,Battery,Physical Safety Hazards,"Philips was notified that FDA is investigating whether certain types of Electri-Cord Manufacturing Company power cords used with medical devices may be defective in that the power cord's prongs may crack and fail at/or inside plug.  The issue affects medical device power cords equipped with a  plug that has a prong and ground-pin insert design and a black plastic bridge connecting the terminal prongs on the plug (""taller bridge"" design).  Medical device power cords that do not have a black bridge connecting the terminal prongs on the plug are not affected.  Urgent Medical Device Correction letters were sent to Distributors describing the problem and giving them instructions for notifying customers and actions to be taken.  Customers are to visually inspect the affected cords, complete the Customer Reply Power Cord Order Form, and follow the instructions to dispose of affected cords.  Further information or support concerning this issue can be obtained by contacting a Philips representative at 1-800-722-9377.",Remove,0,N/A
Z-0323-2011,Nov-08-2010,2010,"RS-4i  Sequential Stimulator; - The device is labeled in part: "" RS Medical RS-4i Stimulator"".   The device is sold in a kit that includes a carrying case; connector cables; pads (electrodes); battery charger; patient document; instructional DVD; return mail bag; and the operation manual.This device is used with cables and electrodes that are placed on skin in the treatment area; and allow an electrical micro-current to relieve pain. The device requires a prescription from a physician. It is programmed by an RS medical employee (or Account Manager) to the physician's specific treatment plan for each patient. The patient is given instructions on how to utilize the device (proper electrode placement). Powered MUSCLE Stimulation indications for use including: 1) Relax muscle spasm. 2) Prevention or retardation of disuse atrophy. 3) Maintain or increase range of motion. 4) Increase local blood circulation. 5) Re-educate muscle. 6) Immediate post-surgical stimulation of calf muscles to prevent venous thrombosis. INTERFERENTIAL Stimulation indications for use including: 1) Relieve acute pain. 2) Relieve and manage chronic pain.",International Rehabilitative Sciences; Inc.,2,The charge current is leaking through two Diodes; which are supposed to block the reverse current; when the device is warm during the main battery charge operation; it then causes the lithium battery to swell around two years of use and it causes the device to be inoperable.,Battery,Device Operation,"Since June 11, 2008, RS Medical has taken the following actions when the device was sent back through a consumer complaint, or when the device was returned for routine maintenance, or through the rental service.  The firm has upgraded the blocking diodes with higher temperature rated diodes, replaced the Lithium coin cell battery, and the software register bit has been changed to denote for subsequent automated testing that the diode upgrade/Lithium coin cell battery replacement has occurred.  



The firm reported that the device must be returned for the rechargeable NiMH battery replacement around two years of use, and the battery should not be replaced by patients.



On 10/29/10, the firm began sending out URGENT NOTICE of VOLUNTARY RECALL letters to their customers.  The firm will continue to send out the letters through 2011. 



The letter states the recall product as RS-4i Sequential Stimulator, Affected Serial Numbers 4i300000 to 4i467119.  



The customers are informed that ""RS-4i Sequential Stimulators, only those within the affected serial number range indicated above, are susceptible to early expiration of the lithium coin cell battery that provides back-up power to the device memory when the stimulator is powered OFF. Customer experience indicates that the 3V lithium coin cell battery can be depleted as early as one third of its rated life. The RS-4i Stimulator will perform as intended until the lithium coin cell battery is fully depleted. When this happens, the Stimulator will turn OFF and fail to turn ON, even if it has been charged by battery charger connection to a standard electrical wall outlet"".



Customers are advised to make a schedule for a free Return and Repair of a RS-4i Sequential Stimulator and should call the Toll Free Service Line at 877-363-5753 (English) or 877-363-5754 (Spanish) from 6AM to 5PM (Pacific Time) Monday-Friday.



If the customers have any other questions or to review additional information before scheduling a device .",Replace,"166, 131 units",166131
Z-1440-2010,Apr-26-2010,2010,Medtronic EnRhythm pacemaker - Medtronic EnRhythm; P1501DR; Dual Chamber Rate Responsive Pacemaker with RapidRead Telemetry.   The EnRhythm pacing system is an implantable medical device that monitors; detects; and treats atrial tachyarrhythmia episodes.  It also provides bradycardia pacing and monitoring of ventricular tachycardia (VT) episodes.  Manufactured at:  Juncos; Puerto Rico; USA.  Medtronic; Inc.; Minneapolis; MN  55432 USA.,Medtronic Inc. Cardiac Rhythm Disease Managment,2,Medtronic is informing doctors of two specific battery issues with EnRhythm pacemakers that will be addressed by a Medtronic software update available mid-2010.  If the software update referenced above is not implemented; there will be a potential risk of loss of device functionality or risk for loss of therapy at or near ERI in a small number of devices. The software will eliminate this issue; fo,Battery,Device Operation,"Consignees were given a Medtronic ""Important : Medical Device Correction"" letter addressed to ""Dear Doctor"" and dated February 2010.  In the letter, Medtronic is informing doctors of two specific battery issues with EnRhythm pacemakers that will be addressed by a Medtronic software update available mid-2010. The letter included recommendations including that Medtronic recommends physicians continue to use the ERI notification to determine time for device replacement. At this time, no other action, reprogramming or change in the frequency of follow-up is recommended. For additional information or assistance, please contact your local Medtronic Representative or Medtronic Technical Services at 800-505-4636.",Software update,"approximately 120,061 worldwide",120061
Z-1317-2010,Apr-09-2010,2010,Philips Medical HeartStart MRx Defibrillator Monitor - HeartStart MRx Defibrillator Monitor (Models M3535A; M3536A and M3536J) used with Philips 14.8-Volt Lithium Ion Battery (ModeI M3538A).The HeartStart MRx is for use for the termination of ventricular tachycardia and ventricular fibrillation. The device is for use by qualified medical personnel trained in the operation of the device and qualified by training in basic life support; advanced cardiac support; or defibrillation. It must be used by or on the order of a physician.,Philips Healthcare Inc.,2,Batteries older than 2 years have a higher potential for intermittent electrical contact; may contribute to an interruption in monitoring or therapy if the monitor/defibrillator is operating on battery.,Battery,Treatment/Delivery/Therapy,"An ""Urgent Medical Device Correction"" letter with a Field Safety Notice was issued on March 4, 2010 to affected customers. The Instructions for Use Addendum/Application Note is included with the communication describing when to replace the unit's 14.8-Volt Lithium Ion Battery (Product #M3538A) Number M3538A in the the Philips HeartStart MRx Monitor/Defibrillator.  Should you have any questions or concerns about the Device Correction, please contact your local Philips representative.",Instructions,"37,674 units",37674
Z-0642-2010,Jan-14-2010,2010,VNS Therapy Demipulse Generator and VNS Therapy Demipulse Duo Generator - VNS Therapy Demipulse Generator; Model 103 and VNS Therapy Demipulse Duo Generator; Model 104.  The Cyberonics VNS Therapy system consists of an implantable VNS Therapy Generator; the VNS Therapy Lead; and the external programming system used to change stimulation settings  The Demipulse Generator is an implantable multiprogrammable; device that delivers electrical signals to the vagus nerve.  Electrical signals are delivered from the Demipulse Generator to the vagus nerve by the lead.  The lead and the Pulse Generator make up the implantable portion of the VNS Therapy System.  The external programming system includes the Programming Wand; the programming software; and a compatible computer.  The programming software is used with the Programming Wand to allow a physician to read and change the Demipulse Generator settings transcutaneously.Indicated for use as an adjunctive therapy in reducing the frequency of seizures in adults and adolescents over 12 years of age with partial onset seizures.,Cyberonics; Inc,2,Under certain conditions; product's battery life can be reduced.,Battery,N/A,"Firm sent ""An Important Safety Notice"" letter to all physicians explaining events, risks presented and recommended actions.  Letter was mailed November 20, 2009.  Physicians should complete and return the effectiveness card as soon as possible to acknowledge that you have read and understood the Safety Alert Letter.  If further information is needed, customers in the US can contact Clinical Technical Support at 866-882-8804 or via email at clinicaltechnicalservices@cyberonics.com.",Notification,"8,667 units",8667
Z-0620-2011,Dec-14-2010,2010,Spacelabs Medical Flat Panel Display - Spacelabs Medical Flat Panel Display is a touchscreen display; 19-inch thin film transistor liquid crystal display (TFT-LCD).  The PNs are 010-1619-00 and 010-1655-00; Models 94260-19 and 94256.,Spacelabs Healthcare; Llc,2,The power supply of the Spacelabs Medical Flat Panel Display may fail; causing the display to go blank.,Battery,Display/Image,"Spacelabs Healthcare sent an URGENT: MEDICAL DEVICE RECALL Spacelabs Medical Flat Panel Power Supply PNs: 010-1619-00 & 010-1655-00 letter dated March 20, 2009 to US consignees. On March 27, 2009, Spacelabs sent the same recall letter with translation option to their international consignees.The letter stated the firm would be sending a replacement power supply.  While waiting for the replacement of the power supply, Spacelabs Medical recommended their consignees brief the staff on the possibility of the display going blank to help prevent any adverse event from happening. The consignees were advised to dispose the old power supply per their premise protocol or local regulations. 

The consignees from US can contact Spacelabs Medical at 1-800-522-7025, #2 for Technical Support , and consignees outside the United States can call 1-425-657-7200 x5089 for any questions about the recall.",Replace power supply,2877 units in US and 731 units outside US,3608
Z-2478-2010,Sep-23-2010,2010,Fabius GS - Fabius GS Anesthesia Machine; OR/Anesthesia; Draeger Medical; Inc.; 3135 Quarry Road; Telford; PA 18969inhalation anesthesia machine for use in operating; induction and recovery rooms,Draeger Medical Systems; Inc.,2,potential failures to Electri-Cord Manufacturing AC power cord,Battery,N/A,"Draeger Medical, Inc., sent an Urgent - Medical Device Recall letter dated August 2010 to all customers.  The letter described the product, the problem, and actions to be taken by the customer.  Customers were instructed to:

1)  Immediately take the cord out of service if the plug has bent or cracked prongs, burned plastic, or shows signs of excessive wear.

2)  Monitor the affected cords regularly and be mindful of excessive wear and tear, misuse, or abuse until the affected cord is replaced.  

3)  Customers were also asked to complete and return the enclosed Customer Power Cord Form via mail:  Draeger Medical, Inc., 3135 Quarry Road, Telford, PA  18969;  fax:  1-215-721-5808; or e-mail:  kathy.benedetto@draeger.com.

4)  Disable the cords by cutting off the plug and dispose of the cord in accordance with their facility's disposal procedure when affected power cords are removed.

NOTE:  The firm will send replacement power cords free of charge.  Draeger will only replace power cords originally provided by Draeger (identified with the white flag/part number 4117266.



If you have any questions regarding this letter please call 1-800-543-5047 (press 1 at the first prompt, 2 at the second prompt and then 32349#).",Replace,up to 1973 products (GS & Tiro),1973
Z-2234-2010,Aug-17-2010,2010,Hospira Accessory Power Pack - Hospira Accessory Power Pack; a 4 outlet power strip with a custom pole clamp bracket to attach to the IV pole with the infusion pump; Distributed by: Hospira; Inc.; 275 N. Field Drive; Lake Forest; IL 60045; part number 39003-04-01; Modo #HSP1700; Model Tripp-Lite PS-415-HGAccessory power pack used for use with medical devices.,Hospira Inc.,2,The Power Pack Accessory is not certified to UL 60601 standard or Subject 1363A for relocatable power taps intended for use with medical equipment.  Potential problems could include electrical shock; electrical short or electrical fire.,Battery,Physical Safety Hazards,"Hospira sent Urgent Device Recall letters dated 7/1/10 to their direct accounts on 7/2/10 via Federal Express 2 day delivery, informing them of the potential for electrical shock, electrical short, or electrical fire, since the power packs were not certified to UL 60601 standard or Subject 1363A of UL standard 1363 for relocatable power taps intended for use with medical equipment. The accounts were instructed to examine their inventory for the affected product and quarantine it immediately, and Stericycle at 1-800-321-7388 to obtain a return kit for returning the affected product. If they distributed the affected product further, they were instructed to sub-recall the product from their sub-accounts. They were also requested to complete the enclosed reply form and return it to Hospira by fax at 1-262-577-6921, indicating the amount of product placed on hold for return, if they further distributed the product and if they notified their retail customers. For medical inquiries, the accounts were directed to contact Hospira Medical Communications at 1-800-615-0187.",Return,"1,766 units",1766
Z-0918-2010,Mar-02-2010,2010,9200 Advisor Vital Signs Monitor - 9200 Advisor Vital Signs Monitor uses power cord WW3005 (Electri-Cord Manufacturing Co.; 312 Main St.; Westfield; PA 16950).,Smiths Medical PM; Inc.,2,Smiths Medical is conducting a voluntary recall of a limited number of medical device AC power cords; manufactured by Electri-Cord Manufacturing Co.; for use with BCI 3180 Pulse Oximeter(Human); 9200 Advisor Vital Signs Monitor(Human or Veterinary); 8400 Capnocheck II Capnometer(Human or Veterinary)  and V6400 Invasive Pressure Monitor (Veterinary).The affected Electri-Cord AC power cords are eq,Battery,Physical Safety Hazards,"Consignees were sent a Smiths Medical PM, Inc letter dated January 12, 2010 starting on 1/15/10.  The letter was addressed to Risk/Safety Managers, Distributors, Clinicians, Critical Care Physicians, Pediatricians, Pediatric Intensivists, Neonatologists, and Nursing, Clinical/Biomedical Engineering, and Anesthesia Professionals.  The letter described the problem and products involved.  It provided ""Advice on Action to be Taken by the User"" and requested the return of the ""Urgent Recall Notice Confirmation Form.""  Customers are advised to monitor affected equipment.  To return Power Cords, for questions regarding this Urgent Recall Notice, or to report any issues with these Power Cords, please contact the Smiths Medical Technical Service Department at 

1-800-558-2345.",Return,"1358 cords for all devices (1032 US, 326 OUS) (871 Human, 487 Vet), (Cord # 8404 5 Vet & 325 Human), (Cord # WW3005 482 Vet & 546 Human)",1358
Z-1939-2010,Jun-30-2010,2010,"Power cord used on Bio-Console; autoLog; Sequestra - Hospital Grade Power Cord; UL; Part # 66319; 055476; manufactured by Electri-Cord Manufacturing Co. beginning in February 2003.  The cords are a detachable unit; supplied  with the instruments listed below:                                                                                     Medtronic Bio-Console¿ 550 centrifugal pump console; 	Model #95180; Catalogue #	95180; E95180; R95180.Medtronic Bio-Console¿ 560 centrifugal pump consoles	Model # 560BC; Catalogue #	560BC; 560BCS; 560BCS1.Medtronic autoLog¿; Model #  ATLG110; Catalogue #  ATLG110; ATLG110EATLG110R.Medtronic Sequestra¿ 1000; Model #SEQ1000; Catalogue # SEQ1000; SEQ1000E; SEQ1000R.",Medtronic Cardiovascular Revascularization & Surgical Therap,2,The potential risks during the use of this power cord include electrical shock; delay in setup and therapy; interruption of therapy; device failure; and fires. Although Medtronic has received no reports of adverse events related to the affected cord; a failure may potentially lead to serious adverse health consequences; depending on the device; and therapy being interrupted. This Field Notificatio,Battery,Treatment/Delivery/Therapy,"Consignees were sent on 4/21/10 a Medtronic ""Urgent Medical Device Recall Notice"" letter dated April 19, 2010.  The letter was addressed to their customers and described the problem and the product involved.  They recommended to discontinue use of the AC power cords and to destroy them.  Requested consignees to fill out the attached Medtronic Recall Certificate (FCA 1005),  and return it to Medtronics.",Remove,"619 USA, 80 OUS",699
Z-2029-2010,Jul-17-2010,2010,Medtronic StealthStation S7 System - Medtronic StealthStation S7 System,Medtronic Navigation; Inc,2,Excessive wear at the power cord retractor or incorrect assembly of the power plug may cause sparking; intermittent loss of power; or electrical shock.,Battery,Physical Safety Hazards,"Customers were notified by letter on Jun 14, 2010, advising them of the problem. Instructions were provided to continue using existing retractable power cords until they could be replaced with non-retractable cords by Medtronic, beginning on Aug 17. Further information is available from the company by calling 800-595-9709.",Replace,370 units,370
